event_id,event_name,phase_id,phase_name,event_type,source_keyword,note_id,note_url_public,title,desc,tag_list,publish_time_bj,publish_date_bj,creator_hash,nickname,public_ip_location,liked_count_num,collected_count_num,comment_count_num,share_count_num,representative_score,representative_rank_in_phase,is_representative_sample,is_marketing,content_type,collected_device,collected_account,collected_at_bj
E001,DeepSeek-V4,,,ai_model_event,DeepSeek V4 编程,69edd0bb00000000350253dc,https://www.xiaohongshu.com/explore/69edd0bb00000000350253dc,DeepSeek V4 接入Claude Code最全教程🔥,"DeepSeek V4 + Claude Code，AI 编程新组合实测来了 🔥
性价比目前没得说，DeepSeek 国产大模型，
教程已经写好了，照着做就行！
	
#vibecoding大赏[话题]# #DeepSeek[话题]# #deepseek[话题]# #deepseekv4[话题]# #claudecode[话题]# #ai编程[话题]# #ai开发[话题]# #claude[话题]# #ai[话题]#  #vibecoding[话题]#","vibecoding大赏,DeepSeek,deepseek,deepseekv4,claudecode,ai编程,ai开发,claude,ai,vibecoding",2026-04-26 17:29:03,2026-04-26,8fc51a05046bd34a,库***I,浙江,12000,15000,781,4828,53999,1,True,False,ai_usage_discussion,A,account_a,2026-07-08T13:31:02
E001,DeepSeek-V4,,,ai_model_event,DeepSeek V4,6a280498000000001702e776,https://www.xiaohongshu.com/explore/6a280498000000001702e776,打工人必看！这些AI工具让我少加班三小时,"不早说！看懂这些AI工具真的能提前下班三小时！
最近整理了一份「2026年最佳AI工具」金字塔精选清单，发现AI工具已经不是“可选项”，而是工作流必备了。
	
以前我以为AI就是写写文案、问问问题。后来才发现，真正会用AI的人，早就开始按场景选工具了。
	
① Codex｜核心大脑 这次我把 Codex 放在第一层。它不只是写代码，还能帮你做网页、搭小工具、生成原型、跑自动化脚本。不会代码的人，也可以先把想法做出来。
	
② 通用助手 代表工具：ChatGPT、Claude、Perplexity 适合写作、搜索、研究、头脑风暴、整理思路。刚入门AI，可以先从这几个开始。
	
③ 开发/搭建 代表工具：Cursor、Replit、Lovable、Base44 适合写代码、搭产品、做MVP，把想法快速验证出来。
	
④ 内容输出 代表工具：Midjourney、Kling、HeyGen、Descript、Canva、Opus Clip 适合做图片、视频、数字人、短视频剪辑和品牌内容。
	
⑤ 效率办公 代表工具：Notion AI、NotebookLM、Grammarly、Gamma、Granola、Superhuman、Wispr Flow 适合资料整理、PPT、会议纪要、邮件处理、写作润色。
	
⑥ 自动化&集成 代表工具：n8n、Zapier、Lindy AI、Chatbase、Gemini、Apify、Clay、Softr
适合把不同工具串起来，让重复流程自动跑。我的建议是：别一次性学太多工具。
写东西慢，就用 ChatGPT/Claude；查资料乱，就用 Perplexity；想搭工具，就用 Codex/Cursor；做内容，就用 Midjourney/Kling/Canva；重复工作多，就研究 n8n/Zapier。
	
2026年真正重要的能力，不是收藏多少AI工具，而是能不能把AI放进自己的工作流里。
	
#AI工具[话题]# #AI应用[话题]# #人工智能[话题]# #Codex[话题]# #ChatGPT[话题]# #效率工具[话题]# #AI办公[话题]# #小红书成长笔记[话题]# #自媒体工具[话题]# #AI工作流[话题]#","AI工具,AI应用,人工智能,Codex,ChatGPT,效率工具,AI办公,小红书成长笔记,自媒体工具,AI工作流",2026-06-09 20:18:32,2026-06-09,4569c4bdf04ca010,小***i,北京,8455,9394,268,955,29957,3,True,False,ai_usage_discussion,A,account_a,2026-07-06T20:21:24
E001,DeepSeek-V4,,,ai_model_event,DeepSeek V4 编程,69f43b020000000038022e8a,https://www.xiaohongshu.com/explore/69f43b020000000038022e8a,DeepSeek-V4-pro接入Claude Code完整教程,这期视频分享如何把 DeepSeek 最新的 V4 模型接入 Claude Code，并完成从安装、配置到实际使用的完整流程，解锁1m上下文+Max思考等级  #deepseek[话题]# #claude[话题]#  #ai教程[话题]#,"deepseek,claude,ai教程",2026-05-01 13:32:50,2026-05-01,c92c825a669e26b3,小***z,,8092,12000,202,1867,36432,2,True,False,ai_usage_discussion,A,account_a,2026-07-08T13:31:02
E003,GPT-5.6 Sol,,,ai_model_event,GPT-5.6 怎么用,6a054877000000000702a5dc,https://www.xiaohongshu.com/explore/6a054877000000000702a5dc,#ai[话题]# #ai恋[话题]# #DeepSeek[话题]# #chatbox[话题]# #人机恋[话题]#,#ai[话题]# #ai恋[话题]# #DeepSeek[话题]# #chatbox[话题]# #人机恋[话题]#,"ai,ai恋,DeepSeek,chatbox,人机恋",2026-05-14 11:58:47,2026-05-14,8dacd5cf825b3fc2,忍*,,6357,5168,1302,430,21459,2,True,False,ai_usage_discussion,A,account_a,2026-07-10T23:35:27
E001,DeepSeek-V4,,,ai_model_event,DeepSeek V4,6a366d640000000022016759,https://www.xiaohongshu.com/explore/6a366d640000000022016759,codex唯一真神,#codex[话题]##gpt[话题]#,"codex,gpt",2026-06-20 18:37:24,2026-06-20,10a7d8999e6f6302,睡***新,河北,5853,7158,360,758,22765,5,True,False,general_discussion,A,account_a,2026-07-06T20:21:24
E001,DeepSeek-V4,,,ai_model_event,DeepSeek V4 Pro,69f055170000000023006b31,https://www.xiaohongshu.com/explore/69f055170000000023006b31,DeepSeek-V4-Pro API 优惠期延长,"DeepSeek-V4-Pro 模型 API 限时2.5折优惠延长至2026年5月31日。
	
#deepseek[话题]#",deepseek,2026-04-28 14:35:03,2026-04-28,ab6e4ba0d769f77e,D***k,,5526,1656,1171,1613,15577,6,True,False,general_discussion,A,account_a,2026-07-08T14:01:58
E001,DeepSeek-V4,,,ai_model_event,DeepSeek V4 发布,6a3fad31000000001101cbfb,https://www.xiaohongshu.com/explore/6a3fad31000000001101cbfb,刚刚，DeepSeek发布了DSpark,"1️⃣DSpark解决了什么问题？
2️⃣DSpark是如何解决的？
3️⃣DSpark的效果如何？
本篇一次性给大家解答[吧唧R]
#deepseek[话题]# #dspark[话题]# #北京大学[话题]# #AI圈刚刚[话题]# #大模型[话题]# #科技资讯早知道[话题]#","deepseek,dspark,北京大学,AI圈刚刚,大模型,科技资讯早知道",2026-06-27 19:00:01,2026-06-27,46c89ecc69883d22,A***刚,江苏,4721,1540,361,909,10702,11,True,False,volunteer_decision,A,account_a,2026-07-07T11:54:15
E003,GPT-5.6 Sol,,,ai_model_event,GPT-5.6 怎么用,6a1ed9280000000022014e28,https://www.xiaohongshu.com/explore/6a1ed9280000000022014e28,Codex 接入 DeepSeek V4 保姆级教程🔥,"Codex 最近很火，但不少人卡在第一步就用不了。
	
DeepSeek V4 能力很强，性价比很高，访问速度也快，接进 Codex 是个很好的选择。
	
今天四步教你搞定，跟着做就行，每一步都有截图。
	
#Codex[话题]#  #DeepSeek[话题]#  #AI编程[话题]#  #AI工具[话题]#   #vibecoding[话题]#  #claude[话题]# #大模型[话题]# #人工智能[话题]# #howto入门codex[话题]# #howto入门vibecoding[话题]#","Codex,DeepSeek,AI编程,AI工具,vibecoding,claude,大模型,人工智能,howto入门codex,howto入门vibecoding",2026-06-02 21:22:48,2026-06-02,8fc51a05046bd34a,库***I,浙江,4081,4959,437,1159,17628,3,True,False,ai_usage_discussion,A,account_a,2026-07-10T23:35:27
E001,DeepSeek-V4,,,ai_model_event,DeepSeek V4,69fa261a000000003601d9ea,https://www.xiaohongshu.com/explore/69fa261a000000003601d9ea,三亿token，八十块钱，梁圣的恩情还不完,"五一假期高强度用了五天 DeepSeek v4。主要是用在Hermes 和cc
五天用了三亿多 token，缓存命中率接近 95%，只要 82 人民币
接Claude Code 写代码没问题，效果特别好
给Hermes换模型之后 又换了个新记忆系统现在也不忘事了 现在在用obsidian+hindsight
唯一的问题就是多模态。hermes看图还得切模型。这个补上就无敌了，不知道还有什么好的解决方案。
#DeepSeek[话题]# #Hermes[话题]# #web3[话题]# #大模型[话题]# #算法[话题]# #ai[话题]# #deepseek[话题]#  #DeepSeekv4[话题]#  #ClaudeCode[话题]# #Claude[话题]#","DeepSeek,Hermes,web3,大模型,算法,ai,deepseek,DeepSeekv4,ClaudeCode,Claude",2026-05-06 01:17:14,2026-05-06,f7f28afaf0c8e1f6,J***a,,3434,2538,373,605,10839,9,True,False,ai_usage_discussion,A,account_a,2026-07-06T20:21:24
E001,DeepSeek-V4,,,ai_model_event,DeepSeek V4,69eb27fe000000001a0350d0,https://www.xiaohongshu.com/explore/69eb27fe000000001a0350d0,麻了！超肝实测DeepSeek V4来了！！！,"今天，等了一年的DeepSeek V4，终于发布了。
	
本来每天都很期待，但是发布的这一刻，突然感觉进入到了一种贤者模式。
	
人有点麻了，这一周发了7、8个新模型，最近24小时就发了4个，昨天下午刚开始测MiMo，然后HY3发了，刚写完MiMo，然后GPT-5.5发了，今天刚发完MiMO，然后DeepSeek v4发了。
	
我现在就仿佛鸡排哥，写完你的写你的，写完你的写你的。
	
我也第一时间把DeepSeek V4接到了我的Claude Code里。
而从各方面的数据上来说，其实你可以看到，在如今这个时代，依然还是大就好，大就牛逼，大就是聪明。
	
我们在自己紧锣密鼓的测试了3个小时之后，有了一些自己粗糙的结论。老规矩，我们正文见！
	
如果觉得有用的话，欢迎把它分享给你的朋友们一起看看，这对我们有特别大的帮助！
#AI[话题]# #数字生命卡兹克[话题]# #deepseekv4[话题]# #AIChannel[话题]# #AI工具[话题]# #RED新生代创作大赛[话题]# #大模型[话题]# #人工智能[话题]# #深度求索[话题]# @科技薯","AI,数字生命卡兹克,deepseekv4,AIChannel,AI工具,RED新生代创作大赛,大模型,人工智能,深度求索",2026-04-24 16:21:18,2026-04-24,6faea0641110dbee,数***克,,2714,815,209,341,5653,22,True,False,ai_usage_discussion,A,account_a,2026-07-06T20:21:24
